"Date","Price","lag2","lag3","lag4","lag5"
2014-01-01,98.7,98.7,98.7,98.7,98.7
2014-01-02,95.44,98.7,98.7,98.7,98.7
2014-01-03,93.96,98.7,98.7,98.7,98.7
2014-01-04,93.7833333333333,95.44,98.7,98.7,98.7
2014-01-05,93.6066666666667,93.96,95.44,98.7,98.7
2014-01-06,93.43,93.7833333333333,93.96,95.44,98.7
2014-01-07,93.67,93.6066666666667,93.7833333333333,93.96,95.44
2014-01-08,92.33,93.43,93.6066666666667,93.7833333333333,93.96
2014-01-09,91.66,93.67,93.43,93.6066666666667,93.7833333333333
2014-01-10,92.72,92.33,93.67,93.43,93.6066666666667
2014-01-11,92.4133333333333,91.66,92.33,93.67,93.43
2014-01-12,92.1066666666667,92.72,91.66,92.33,93.67
2014-01-13,91.8,92.4133333333333,92.72,91.66,92.33
2014-01-14,92.59,92.1066666666667,92.4133333333333,92.72,91.66
2014-01-15,94.17,91.8,92.1066666666667,92.4133333333333,92.72
2014-01-16,93.96,92.59,91.8,92.1066666666667,92.4133333333333
2014-01-17,94.37,94.17,92.59,91.8,92.1066666666667
2014-01-18,94.2233333333333,93.96,94.17,92.59,91.8
2014-01-19,94.0766666666667,94.37,93.96,94.17,92.59
2014-01-20,93.93,94.2233333333333,94.37,93.96,94.17
2014-01-21,94.99,94.0766666666667,94.2233333333333,94.37,93.96
2014-01-22,96.73,93.93,94.0766666666667,94.2233333333333,94.37
2014-01-23,97.32,94.99,93.93,94.0766666666667,94.2233333333333
2014-01-24,96.64,96.73,94.99,93.93,94.0766666666667
2014-01-25,96.3333333333333,97.32,96.73,94.99,93.93
2014-01-26,96.0266666666667,96.64,97.32,96.73,94.99
2014-01-27,95.72,96.3333333333333,96.64,97.32,96.73
2014-01-28,97.41,96.0266666666667,96.3333333333333,96.64,97.32
2014-01-29,97.36,95.72,96.0266666666667,96.3333333333333,96.64
2014-01-30,98.23,97.41,95.72,96.0266666666667,96.3333333333333
2014-01-31,97.49,97.36,97.41,95.72,96.0266666666667
2014-02-01,97.1366666666667,98.23,97.36,97.41,95.72
2014-02-02,96.7833333333333,97.49,98.23,97.36,97.41
2014-02-03,96.43,97.1366666666667,97.49,98.23,97.36
2014-02-04,97.19,96.7833333333333,97.1366666666667,97.49,98.23
2014-02-05,97.38,96.43,96.7833333333333,97.1366666666667,97.49
2014-02-06,97.84,97.19,96.43,96.7833333333333,97.1366666666667
2014-02-07,99.88,97.38,97.19,96.43,96.7833333333333
2014-02-08,99.94,97.84,97.38,97.19,96.43
2014-02-09,100,99.88,97.84,97.38,97.19
2014-02-10,100.06,99.94,99.88,97.84,97.38
2014-02-11,99.94,100,99.94,99.88,97.84
2014-02-12,100.37,100.06,100,99.94,99.88
2014-02-13,100.35,99.94,100.06,100,99.94
2014-02-14,100.3,100.37,99.94,100.06,100
2014-02-15,100.393333333333,100.35,100.37,99.94,100.06
2014-02-16,100.486666666667,100.3,100.35,100.37,99.94
2014-02-17,100.58,100.393333333333,100.3,100.35,100.37
2014-02-18,102.43,100.486666666667,100.393333333333,100.3,100.35
2014-02-19,103.31,100.58,100.486666666667,100.393333333333,100.3
2014-02-20,102.92,102.43,100.58,100.486666666667,100.393333333333
2014-02-21,102.2,103.31,102.43,100.58,100.486666666667
2014-02-22,102.406666666667,102.92,103.31,102.43,100.58
2014-02-23,102.613333333333,102.2,102.92,103.31,102.43
2014-02-24,102.82,102.406666666667,102.2,102.92,103.31
2014-02-25,101.83,102.613333333333,102.406666666667,102.2,102.92
2014-02-26,102.59,102.82,102.613333333333,102.406666666667,102.2
2014-02-27,102.4,101.83,102.82,102.613333333333,102.406666666667
2014-02-28,102.59,102.59,101.83,102.82,102.613333333333
2014-03-01,103.366666666667,102.4,102.59,101.83,102.82
2014-03-02,104.143333333333,102.59,102.4,102.59,101.83
2014-03-03,104.92,103.366666666667,102.59,102.4,102.59
2014-03-04,103.33,104.143333333333,103.366666666667,102.59,102.4
2014-03-05,101.45,104.92,104.143333333333,103.366666666667,102.59
2014-03-06,101.56,103.33,104.92,104.143333333333,103.366666666667
2014-03-07,102.58,101.45,103.33,104.92,104.143333333333
2014-03-08,102.093333333333,101.56,101.45,103.33,104.92
2014-03-09,101.606666666667,102.58,101.56,101.45,103.33
2014-03-10,101.12,102.093333333333,102.58,101.56,101.45
2014-03-11,100.03,101.606666666667,102.093333333333,102.58,101.56
2014-03-12,97.99,101.12,101.606666666667,102.093333333333,102.58
2014-03-13,98.2,100.03,101.12,101.606666666667,102.093333333333
2014-03-14,98.89,97.99,100.03,101.12,101.606666666667
2014-03-15,98.62,98.2,97.99,100.03,101.12
2014-03-16,98.35,98.89,98.2,97.99,100.03
2014-03-17,98.08,98.62,98.89,98.2,97.99
2014-03-18,99.7,98.35,98.62,98.89,98.2
2014-03-19,100.37,98.08,98.35,98.62,98.89
2014-03-20,99.43,99.7,98.08,98.35,98.62
2014-03-21,99.46,100.37,99.7,98.08,98.35
2014-03-22,99.5066666666667,99.43,100.37,99.7,98.08
2014-03-23,99.5533333333333,99.46,99.43,100.37,99.7
2014-03-24,99.6,99.5066666666667,99.46,99.43,100.37
2014-03-25,99.19,99.5533333333333,99.5066666666667,99.46,99.43
2014-03-26,100.26,99.6,99.5533333333333,99.5066666666667,99.46
2014-03-27,101.28,99.19,99.6,99.5533333333333,99.5066666666667
2014-03-28,101.67,100.26,99.19,99.6,99.5533333333333
2014-03-29,101.64,101.28,100.26,99.19,99.6
2014-03-30,101.61,101.67,101.28,100.26,99.19
2014-03-31,101.58,101.64,101.67,101.28,100.26
2014-04-01,99.74,101.61,101.64,101.67,101.28
2014-04-02,99.62,101.58,101.61,101.64,101.67
2014-04-03,100.29,99.74,101.58,101.61,101.64
2014-04-04,101.14,99.62,99.74,101.58,101.61
2014-04-05,100.906666666667,100.29,99.62,99.74,101.58
2014-04-06,100.673333333333,101.14,100.29,99.62,99.74
2014-04-07,100.44,100.906666666667,101.14,100.29,99.62
2014-04-08,102.56,100.673333333333,100.906666666667,101.14,100.29
2014-04-09,103.6,100.44,100.673333333333,100.906666666667,101.14
2014-04-10,103.4,102.56,100.44,100.673333333333,100.906666666667
2014-04-11,103.74,103.6,102.56,100.44,100.673333333333
2014-04-12,103.843333333333,103.4,103.6,102.56,100.44
2014-04-13,103.946666666667,103.74,103.4,103.6,102.56
2014-04-14,104.05,103.843333333333,103.74,103.4,103.6
2014-04-15,103.75,103.946666666667,103.843333333333,103.74,103.4
2014-04-16,103.76,104.05,103.946666666667,103.843333333333,103.74
2014-04-17,104.3,103.75,104.05,103.946666666667,103.843333333333
2014-04-18,104.3175,103.76,103.75,104.05,103.946666666667
2014-04-19,104.335,104.3,103.76,103.75,104.05
2014-04-20,104.3525,104.3175,104.3,103.76,103.75
